"","AITC.100uM"
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1414",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1415",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1418",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1419",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1420",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1422",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1423",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1424",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1426",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1428",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1429",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1430",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1431",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1432",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1435",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1436",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1437",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1438",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1441",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1442",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1443",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1444",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1445",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1447",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1449",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1450",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1452",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1453",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1454",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1455",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1456",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1457",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1458",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1459",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1460",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1462",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1464",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1465",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1467",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1469",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1470",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1472",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1473",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1474",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1475",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1476",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1478",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1479",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1480",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1483",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1484",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1485",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1487",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1488",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1489",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1490",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1491",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1492",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1493",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1494",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1495",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1496",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1497",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1500",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1501",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1502",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1504",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1506",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1508",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1509",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1510",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1511",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1512",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1515",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1516",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1517",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1519",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1521",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1522",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1523",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1526",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1527",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1528",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1529",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1530",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1531",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1532",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1534",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1535",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1536",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1537",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1539",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1540",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1543",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1544",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1545",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1546",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1547",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1548",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1549",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1550",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1552",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1553",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1554",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1556",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1557",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1558",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1559",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1560",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1561",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1562",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1563",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1564",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1565",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1566",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1567",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1569",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1571",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1572",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1573",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1574",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1576",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1578",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1579",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1580",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1583",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1584",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1585",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1586",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1587",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1588",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1589",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1590",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1591",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1592",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1594",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1595",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1598",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1599",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1600",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1601",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1602",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1604",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1606",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1607",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1608",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1609",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1610",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1611",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1612",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1613",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1615",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1616",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1617",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1618",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1619",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1620",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1621",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1622",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1623",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1624",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1625",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1626",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1627",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1629",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1630",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1631",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1632",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1634",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1635",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1636",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1639",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1640",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1641",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1642",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1643",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1644",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1645",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1647",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1649",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1650",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1651",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1652",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1653",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1654",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1655",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1657",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1658",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1659",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1662",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1665",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1666",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1667",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1668",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1669",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1670",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1672",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1673",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1674",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1675",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1676",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1678",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1681",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1682",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1685",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1687",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1688",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1690",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1692",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1693",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1694",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1695",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1696",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1697",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1698",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1699",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1700",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1701",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1702",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1703",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1704",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1708",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1709",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1710",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1711",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1712",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1714",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1715",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1717",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1718",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1719",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1721",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1722",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1723",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1724",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1725",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1726",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1727",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1728",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1729",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1731",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1732",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1733",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1734",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1735",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1737",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1738",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1739",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1740",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1741",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1742",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1743",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1745",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1746",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1747",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1748",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1751",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1752",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1754",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1755",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1757",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1759",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1760",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1762",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1766",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1767",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1768",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1769",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1773",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1774",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1775",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1776",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1777",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1778",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1780",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1781",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1782",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1783",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1784",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1785",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1787",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1788",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1790",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1791",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1792",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1794",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1795",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1796",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1797",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1798",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1799",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1801",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1802",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1803",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1804",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1806",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1809",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1810",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1811",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1812",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1813",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1814",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1815",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1816",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1817",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1819",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1820",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1821",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1822",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1823",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1824",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1825",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1826",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1827",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1828",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1829",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1830",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1831",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1832",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1833",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1834",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1835",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1836",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1837",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1841",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1842",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1843",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1844",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1845",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1846",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1847",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1848",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1849",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1850",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1851",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1852",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1854",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1855",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1856",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1857",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1858",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1859",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1860",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1861",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1863",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1864",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1865",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1866",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1867",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1868",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1869",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1870",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1871",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1872",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1874",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1876",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1878",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1880",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1882",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1885",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1886",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1887",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1888",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1889",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1890",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1893",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1894",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1896",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1898",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1899",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1900",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1901",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1903",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1907",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1908",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1910",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1911",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1912",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1914",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1915",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1916",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1918",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1921",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1924",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1925",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1929",1
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1931",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1932",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1933",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1935",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1938",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1939",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1940",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1941",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1942",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1943",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1944",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1947",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1948",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1949",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1952",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1953",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1954",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1955",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1958",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1959",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1960",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1962",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1963",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1964",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1965",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1967",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1969",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1970",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1971",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1973",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1974",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1975",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1976",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1977",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1978",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1979",0
"RD_190615_93_f_m3_p1_CCI_ipsi__X_1981",1
